ds,y
2021-08-09,44897.18500051004
2021-08-10,45618.638394747664
2021-08-11,46114.16475740249
2021-08-12,44994.61198074352
2021-08-13,46218.1832672041
2021-08-14,47136.320677739925
2021-08-15,46448.76256668261
2021-08-16,46953.48013161033
2021-08-17,45986.5228431102
2021-08-18,45154.68866976127
2021-08-19,45226.90765615753
2021-08-20,47792.021208332095
2021-08-21,49061.88059491817
2021-08-22,48908.62485510459
2021-08-23,49900.46956359125
2021-08-24,48923.78211661046
2021-08-25,48278.228716197635
2021-08-26,47375.556464312875
2021-08-27,47743.31484115652
2021-08-28,48898.5208696744
2021-08-29,48660.04238409649
2021-08-30,48095.61953435851
2021-08-31,47323.92176647701
2021-09-01,47688.31138448781
2021-09-02,49655.40807368661
2021-09-03,49905.76240378739
2021-09-04,50077.118852677544
2021-09-05,50346.1141972691
2021-09-06,51780.757639316274
2021-09-07,50011.81358475947
2021-09-08,46331.34006773217
2021-09-09,46437.50392194974
2021-09-10,45953.922922597325
2021-09-11,45387.68302640525
2021-09-12,45649.375210158614
2021-09-13,44826.13239020094
2021-09-14,46056.16594365945
2021-09-15,47589.65431712992
2021-09-16,47912.43800779488
2021-09-17,47593.01388885532
2021-09-18,48242.62381485914
2021-09-19,47748.79455726273
2021-09-20,44671.330712891366
2021-09-21,42479.74634748367
2021-09-22,42567.98095210092
2021-09-23,44101.81283232144
2021-09-24,43156.122369206765
2021-09-25,42604.939735755754
2021-09-26,42822.23300225192
2021-09-27,43540.993225763814
2021-09-28,41949.64879100668
2021-09-29,41833.860901316955
2021-09-30,43261.02790829526
2021-10-01,46047.29860226464
2021-10-02,47836.43875056558
2021-10-03,48011.120852465894
2021-10-04,48182.51730244121
2021-10-05,50109.525915013466
2021-10-06,52962.53483019137
2021-10-07,54424.94516981182
2021-10-08,54543.928650474954
2021-10-09,54808.33455357818
2021-10-10,55213.329520575186
2021-10-11,56706.27434515464
2021-10-12,56642.55166663437
2021-10-13,56052.36406735416
2021-10-14,57638.64841572131
2021-10-15,59863.12434699097
2021-10-16,61264.76028418625
2021-10-17,60840.31906304411
2021-10-18,61789.937068180414
2021-10-19,62724.16591742055
2021-10-20,64947.441460023765
2021-10-21,64355.71038678036
2021-10-22,62189.15391874444
2021-10-23,61114.63177143881
2021-10-24,60746.90301685808
2021-10-25,62615.900476512536
2021-10-26,62323.983321021085
2021-10-27,59541.50730089738
2021-10-28,60332.7525687542
2021-10-29,61637.822390486064
2021-10-30,61637.7554411759
2021-10-31,61140.323183061395
2021-11-01,61305.86330825903
2021-11-02,62545.55055951511
2021-11-03,62876.98317538821
2021-11-04,61918.057819928865
2021-11-05,61600.039508750655
2021-11-06,61070.57379976236
2021-11-07,62192.97882248467
2021-11-08,65816.22666902716
2021-11-09,67571.88431266858
2021-11-10,66938.47446468785
2021-11-11,65021.92116543796
2021-11-12,64294.340524526415
2021-11-13,64147.31206940004
2021-11-14,64601.098253060634
2021-11-15,65188.25254274172
2021-11-16,60951.942022520525
2021-11-17,60003.8428998882
2021-11-18,59118.43602926488
2021-11-19,57299.993746166605
2021-11-20,58777.44409694716
2021-11-21,59275.446802813625
2021-11-22,57465.70819295082
2021-11-23,56888.96169102678
2021-11-24,56806.36387568853
2021-11-25,58137.74639292505
2021-11-26,56275.743562911666
2021-11-27,55430.52827570503
2021-11-28,54707.59659735909
2021-11-29,57586.78046447658
2021-11-30,57350.09766763504
2021-12-01,57405.16693256306
2021-12-02,56798.47945955176
2021-12-03,56007.61428521876
2021-12-04,49193.05375342844
2021-12-05,49230.021767703656
2021-12-06,48875.71376951287
2021-12-07,51111.62933759848
2021-12-08,50429.266019867115
2021-12-09,49100.278146594836
2021-12-10,48336.16758891436
2021-12-11,48541.67755034575
2021-12-12,49716.91992817384
2021-12-13,48337.57431609107
2021-12-14,47286.22685076811
2021-12-15,48202.61139194329
2021-12-16,48622.44173924345
2021-12-17,47135.01128776783
2021-12-18,46715.7047054865
2021-12-19,47271.137757737924
2021-12-20,46648.823882288816
2021-12-21,48312.33178552248
2021-12-22,48729.62318505878
2021-12-23,49194.607373874474
2021-12-24,51154.47927927289
2021-12-25,50967.036682906575
2021-12-26,50300.8116383416
2021-12-27,51181.326188333085
2021-12-28,48995.01452812034
2021-12-29,47675.10269082455
2021-12-30,47162.14392246212
2021-12-31,47316.30970018602
2022-01-01,47147.27555555679
2022-01-02,47346.93914697862
2022-01-03,46919.99636273853
2022-01-04,46553.72821838849
2022-01-05,45999.5097574606
2022-01-06,43197.81032071956
2022-01-07,42156.80024705061
2022-01-08,41767.73439505918
2022-01-09,42027.940157251454
2022-01-10,41712.96839306378
2022-01-11,42271.70189699506
2022-01-12,43256.18260590144
2022-01-13,43461.37873752593
2022-01-14,42802.53044491914
2022-01-15,43224.62650655024
2022-01-16,43190.26891368414
2022-01-17,42624.340109924415
2022-01-18,42013.414686996475
2022-01-19,41982.20669713448
2022-01-20,42277.340568753774
2022-01-21,38768.02194168501
2022-01-22,35615.05760435285
2022-01-23,35535.84375937379
2022-01-24,35184.82322767571
2022-01-25,36585.76104177224
2022-01-26,37593.28629029538
2022-01-27,36443.72778061912
2022-01-28,37195.33378568701
